[17:50:43] [info] VEKTOR: GLFW Window hints set
[17:50:45] [trace] VEKTOR: Delta time: 0.012633562 seconds
[17:50:45] [trace] VEKTOR: Event received: KeyPressedEvent: 65 (0 repeats)
[17:50:45] [trace] VEKTOR: Event received: KeyTypedEvent: 97
[17:50:45] [trace] VEKTOR: Delta time: 0.0051956177 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011464238 seconds
[17:50:45] [trace] VEKTOR: Event received: KeyReleasedEvent: 83
[17:50:45] [trace] VEKTOR: Delta time: 0.0044293404 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.012238026 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0040528774 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.012580395 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.004674673 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0120072365 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.003929138 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012732029 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0043439865 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012412071 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.003742218 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0129106045 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 880.926, 435.398
[17:50:46] [trace] VEKTOR: Delta time: 0.004145384 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012406349 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 871.066, 436.027
[17:50:46] [trace] VEKTOR: Delta time: 0.0037150383 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.013065577 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 848.781, 439.945
[17:50:46] [trace] VEKTOR: Event received: KeyReleasedEvent: 65
[17:50:46] [trace] VEKTOR: Delta time: 0.00398612 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 831.562, 441.855
[17:50:46] [trace] VEKTOR: Delta time: 0.012622833 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 812.605, 444.848
[17:50:46] [trace] VEKTOR: Delta time: 0.0037961006 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 771.699, 449.078
[17:50:46] [trace] VEKTOR: Delta time: 0.012951374 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 730.969, 452.273
[17:50:46] [trace] VEKTOR: Delta time: 0.005161524 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.011463404 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 677.418, 455.715
[17:50:46] [trace] VEKTOR: Delta time: 0.0044620037 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012167931 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 632.039, 457.867
[17:50:46] [trace] VEKTOR: Delta time: 0.005046129 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.011664629 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 609.094, 459.449
[17:50:46] [trace] VEKTOR: Delta time: 0.004061699 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012531519 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 596.996, 460.668
[17:50:46] [trace] VEKTOR: Delta time: 0.0038378239 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012859821 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 586.387, 462.43
[17:50:46] [trace] VEKTOR: Delta time: 0.0050349236 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0115971565 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0040175915 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012659073 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0047671795 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.011957169 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.00406456 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012584448 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0053670406 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.011252165 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0040693283 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012674332 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.004715681 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.011909723 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0042324066 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012499332 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0054802895 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.011090755 seconds
[17:50:46] [trace] VEKTOR: Event received: KeyPressedEvent: 68 (0 repeats)
[17:50:46] [trace] VEKTOR: Event received: KeyTypedEvent: 100
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 586.156, 462.43
[17:50:46] [trace] VEKTOR: Delta time: 0.0050475597 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.011705637 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 574.387, 463.77
[17:50:46] [trace] VEKTOR: Delta time: 0.003986597 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012704372 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 556.07, 466.695
[17:50:46] [trace] VEKTOR: Delta time: 0.004816532 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.011752605 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 518.234, 473.719
[17:50:46] [trace] VEKTOR: Delta time: 0.004139185 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.01258111 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 453.672, 485.125
[17:50:46] [trace] VEKTOR: Delta time: 0.004263878 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0123806 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 379.488, 499.934
[17:50:46] [trace] VEKTOR: Delta time: 0.004427433 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012255907 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 329.645, 510.52
[17:50:46] [trace] VEKTOR: Delta time: 0.003909588 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012907743 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 276.094, 524.461
[17:50:46] [trace] VEKTOR: Delta time: 0.0042140484 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012250185 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 251.496, 532.207
[17:50:46] [trace] VEKTOR: Delta time: 0.0039823055 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012689114 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 228.598, 541.211
